"jobtitle","company","location","jobsummary","yearly_salary","id"
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",300
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",312
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",182
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",184
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",342
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",332
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",339
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",191
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",193
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",195
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","$39,520 - $47,840",370
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",356
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",375
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",199
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",201
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",205
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",384
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",395
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","$54,080 - $66,560",406
"Executive Assistant","Boldly","California Remote","Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;","$45,760",380
