"jobtitle","company","location","jobsummary","yearly_salary","id"
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1141
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1147
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1155
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1160
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1166
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1172
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1176
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1181
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1189
"Game Host for Unique Sightseeing Tour","Fantastic Race","Avalon, CA","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards","$62,400 - $104,000",1195
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","$41,600",631
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",647
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",648
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",649
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",650
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",661
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",662
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",664
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",669
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",670
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",672
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",679
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",680
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",685
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",689
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",691
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",693
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","$49,508 - $146,120 ",697
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","$56,551 - $72,970 ",698
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",700
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","$55,214 - $89,054 ",714
