"jobtitle","company","location","jobsummary","posted","datapulled","yearly_salary","id"
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Candidate must be willing to live and work on Catalina","Today","22-01-10","None",123
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Catalina Island Company, the resort operator on Catalina Island, is located 22 miles off the coast of southern California and offers an abundance of amenities","3 days ago","22-01-10","None",124
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",51
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",126
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",127
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",128
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",129
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",130
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",131
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",66
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",115
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",113
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.","11 days ago","22-01-10","$54,080 - $66,560",132
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",137
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",138
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",139
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",140
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",141
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",142
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",143
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",144
"Part-time Guest Services Representative","Catalina Island Conservancy","Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a","30+ days ago","22-01-10","None",146
"Airport Operations Assistant Manager","Catalina Island Conservancy","Santa Catalina Island, CA","A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private","30+ days ago","22-01-10","None",147
"Operations Analyst","Catalina Island Conservancy","Santa Catalina Island, CA Remote","Reviews, distributes and/or responds to incoming correspondence, telephone calls and e-mail inquiries. Possess a current driver's license and ability to drive a","11 days ago","22-01-10","None",148
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",149
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",150
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",151
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",72
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Looking for consistent Monday-Friday Delivery job on the island? Start time 9am. Shifts are around 4-6 hours long. $25/hr starting pay. TMV Trucking Inc","Just posted","22-01-10","None",155
"Find jobs with Flexible Hours!","Indeed Gigs","California","Search for flexible gig work that allow you to choose your own schedule! Apply for independent contractor jobs that are hiring immediately. Many gigs such as","Today","22-01-10","None",156
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",73
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","A responsible steward of its lands through a balance of conservation, education and recreation. JOB DESCRIPTION POSITION: Permits Supervisor STATUS: Hourly,","Today","22-01-10","None",160
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",76
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",162
"Limpia de casa","Catalina Island Medical Center","Avalon, CA","Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de","4 days ago","22-01-10","$39,520 - $47,840",145
"Utility Pole Inspection Foreman","Osmose Utility Services Inc","California","Did you know 90% of our senior management started with Osmose as a Foreman? Start your career as a Foreman Trainee and be promoted to a Foreman in an average","11 days ago","22-01-10","$54,080 - $66,560",157
"Visitor Service Center Agent","Catalina Island Company","Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.","3 days ago","22-01-10","None",164
"FedEx Delivery Driver Catalina Island $25/hr","TMV Trucking Inc","Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or","Just posted","22-01-10","None",167
"Find jobs with Flexible Hours!","Indeed Gigs","California","Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!","Today","22-01-10","None",168
"Permits Supervisor","Catalina Island Conservancy","Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,","Today","22-01-10","None",169
