"jobtitle","company","location","jobsummary","posted","datapulled","yearly_salary","id"
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1102
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1104
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1105
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",585
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1107
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1109
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1110
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1111
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",587
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1113
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1115
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1116
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Statement of Service (Certification Letter): If you are still on active duty you must submit","30+ days ago","22-01-10","$55,214 - $89,054 ",589
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1118
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1120
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1121
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",597
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1123
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1103
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1108
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1114
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1119
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1124
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1125
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1126
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",598
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1128
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1129
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1130
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1132
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1133
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",1134
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",600
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1136
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1137
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1139
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1140
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",602
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1142
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1144
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1145
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1146
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",618
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1148
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1149
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1150
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1151
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",1152
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1131
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1138
"Manager","MMW Hospitaly Corp","Avalon, CA","Looking for an energetic self starter. Passion for people and restaurants a must. Job Types: Full-time, Part-time. Pay: From $20.00 per hour.","3 days ago","22-01-10","$41,600",1143
"Distribution Journeyman Lineman - Catalina Island [ONSITE]","Southern California Edison","Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction","3 days ago","22-01-10","None",1153
"Housekeeping Supervisor","Catalina Island Medical Center","Avalon, CA","Responsible for overseeing public areas as well as patient rooms to ensure they are according to Omni's cleanliness standards.","Just posted","22-01-10","None",1154
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",619
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1156
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1158
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1159
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",625
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1161
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1163
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1164
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1165
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",632
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1167
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1169
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1170
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1171
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",633
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1173
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1175
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",635
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1177
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1179
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1180
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1157
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1162
"Manager","MMW Hospitaly Corp","Avalon, CA","Looking for an energetic self starter. Passion for people and restaurants a must. Job Types: Full-time, Part-time. Pay: From $20.00 per hour.","3 days ago","22-01-10","$41,600",1168
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1174
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1178
"Border Patrol Agent GL-9","U.S. Customs and Border Protection","California","Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level","30+ days ago","22-01-10","$55,214 - $89,054 ",641
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1182
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1183
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1184
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1185
"Food Service Worker","Catalina Island Medical Center","Avalon, CA","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.","4 days ago","22-01-10","None",1186
"Distribution Journeyman Lineman - Catalina Island [ONSITE]","Southern California Edison","Avalon, CA","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction","3 days ago","22-01-10","None",1187
"Housekeeping Supervisor","Catalina Island Medical Center","Avalon, CA","Responsible for overseeing public areas as well as patient rooms to ensure they are according to Omni's cleanliness standards.","Just posted","22-01-10","None",1188
"U.S. Secret Service Criminal Investigator (Special Agent)","United States Secret Service","California","Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or","30+ days ago","22-01-10","$49,508 - $146,120 ",644
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1190
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1192
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1193
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1194
"Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...","U.S. Customs and Border Protection","California","U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations","4 days ago","22-01-10","$56,551 - $72,970 ",646
"Front Desk / Guest Services Agent","Hotel Vista Del Mar","Avalon, CA","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!","EmployerActive 3 days ago","22-01-10","None",1196
"Plant Equipment Operator, 8695 [ON-SITE]","Southern California Edison","Avalon, CA","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,","30+ days ago","22-01-10","None",1197
"Fitness Center CSR","Catalina Island Medical Center","Avalon, CA","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning","4 days ago","22-01-10","None",1199
"Housekeeper","Catalina Island Medical Center","Avalon, CA","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key","4 days ago","22-01-10","None",1200
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",8
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",38
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",49
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",75
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",95
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",135
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",153
"Communications Operator-Customer Service Rep","Inspire Malibu","California","We are searching for another member to add to our close-knit team of individuals. We are a hard working company and are seeking to improve our performance","Just posted","22-01-10","$33,280 - $56,160",159
"Manager","MMW Hospitaly Corp","Avalon, CA","Looking for an energetic self starter. Passion for people and restaurants a must. Job Types: Full-time, Part-time. Pay: From $20.00 per hour.","3 days ago","22-01-10","$41,600",1191
"Manager","MMW Hospitaly Corp","Avalon, CA","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).","3 days ago","22-01-10","$41,600",1198
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",161
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",176
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",185
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",194
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",200
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",207
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","Just posted","22-01-10","$33,280 - $56,160",210
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",226
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",236
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",248
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",271
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",277
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",290
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",304
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",317
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","Just posted","22-01-10","$33,280 - $56,160",335
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",352
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",360
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",364
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",377
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",385
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",389
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",398
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",411
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",425
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","Just posted","22-01-10","$33,280 - $56,160",428
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.","Just posted","22-01-10","$33,280 - $56,160",441
"Communications Operator-Customer Service Rep","Inspire Malibu","California","Manage all incoming and outgoing communications- phone & email. We are searching for another member to add to our close-knit team of individuals.","Just posted","22-01-10","$33,280 - $56,160",453
